ca_path,ca_status,ca_kind,ca_title,gsc_clicks_3mo,gsc_impr_3mo,com_target,match,score,note
/about/,200,wp-page,About St. Clair Cannabis — Toronto's 24-Hour Cannabis Shop on St. Clair West,0,8,https://stclaircannabis.com/weed-dispensary-toronto,close,,About page -> store/location landing page
/product/bb-full-carton/,200,product,BB Full Carton | Cannabis Cannabis Toronto | St. Clair,0,7,https://stclaircannabis.com/item/bb-full-carton,exact,,same product on .com (bb-full-carton)
/product/forbidden-fruits/,200,product,Forbidden Fruits | Premium Cannabis Toronto | St. Clair,0,7,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/pink-glizzy/,200,product,Pink Glizzy | Premium Cannabis Toronto | St. Clair,0,7,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/pink-phantom/,200,product,Pink Phantom | AAA+ Cannabis Toronto | St. Clair,0,7,https://stclaircannabis.com/aaa-weed,category,,no same product on .com; tier from .ca title
/pink-tomford/,200,post,PINK TOMFORD - St. Clair Cannabis,0,6,https://stclaircannabis.com/items/add-ons,category,,no same product on .com; category from slug keywords
/product/24k-gold/,200,product,24K Gold | Exotic Cannabis Toronto | St. Clair,0,6,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/canadian-goose-lights/,200,product,Canadian Goose Lights | Weed Shop Toronto | St. Clair,0,6,https://stclaircannabis.com/item/canadian-goose-lights,exact,,same product on .com (canadian-goose-lights)
/product/gorilla-glue%E2%9C%A8sale/,200,product,Gorilla Glue✨sale | AA Cannabis Toronto | St. Clair,0,6,https://stclaircannabis.com/flower/gorilla-glue-4,close,,"same strain/product, variant/size name on .com (gorilla-glue-4); review"
/product/blue-dream-sativa/,200,product,Blue Dream ( Sativa) | AA Cannabis Toronto | St. Clair,0,5,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/mendo-breathe/,200,product,Mendo Breathe | Premium Cannabis Toronto | St. Clair,0,5,https://stclaircannabis.com/premium-weed,category,,no same product on .com; tier from .ca title
/product/pink-animal-1g-ind-pre-roll/,200,product,Pink Animal 1g Ind Pre-Roll | Weed Shop Toronto | St. Clair,0,5,https://stclaircannabis.com/item/pink-animal-1g-ind-pre-roll,exact,,same product on .com (pink-animal-1g-ind-pre-roll)
/product/zlab-zpods-assorted-2-ml/,200,product,Zlab Zpods Assorted 2 ml | Weed Shop Toronto | St. Clair,0,5,https://stclaircannabis.com/items/vapes,category,,no same product on .com; category from slug keywords
/dummy-bears/,200,post,DUMMY BEARS - St. Clair Cannabis,0,4,https://stclaircannabis.com/item/dummy-bears-200mg-2000mg-5000mg,close,,"same strain/product, variant/size name on .com (dummy-bears-200mg-2000mg-5000mg); review"
/product/blue-dream-sativa-ltd-bag/,200,product,Blue Dream ( Sativa) LTD Bag | Weed Shop Toronto | St. Clair,0,4,https://stclaircannabis.com,weak,,"flower with no tier on .ca (LTD bag, $0) -> homepage flower menu"
/product/canadian-lights/,200,product,Canadian Lights | Cannabis Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/item/canadian-lights,exact,,same product on .com (canadian-lights)
/product/han-solo/,200,product,Han Solo | Exotic Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/jealousy/,200,product,Jealousy | Exotic Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/pink-bubblegum-ltd-bag/,200,product,Pink Bubblegum LTD Bag | Weed Shop Toronto | St. Clair,0,4,https://stclaircannabis.com,weak,,"flower with no tier on .ca (LTD bag, $0) -> homepage flower menu"
/product/pink-cookie-og/,200,product,Pink Cookie Og | AA Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/pink-northern-lights-shreds/,200,product,Pink Northern Lights (shreds) | St. Clair Cannabis Toronto,0,4,https://stclaircannabis.com/budget-weed,category,,no same product on .com; category from slug keywords
/product/pink-space-queen/,200,product,Pink Space Queen | Exotic Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/exotic-weed,category,,no same product on .com; tier from .ca title
/product/purple-cookies/,200,product,Purple Cookies | AA Cannabis Toronto | St. Clair,0,4,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/,200,wp-page,Products - St. Clair Cannabis,0,3,https://stclaircannabis.com,close,,.ca product archive -> .com menu (homepage is the menu)
/product/acapulco-gold/,200,product,Acapulco Gold | Budget Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/budget-weed,category,,no same product on .com; tier from .ca title
/product/bc-kush/,200,product,BC Kush | AA Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/black-diamonds-%E2%9C%A8sale/,200,product,Black Diamonds ✨sale | AA Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/blue-god-ogs/,200,product,BLUE GOD OGs | Budget Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/budget-weed,category,,no same product on .com; tier from .ca title
/product/cake-face/,200,product,Cake Face | Budget Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/budget-weed,category,,no same product on .com; tier from .ca title
/product/elf-bar-ice-king-5-30k-puffs-many-flavors/,200,product,Elf Bar Ice King – 5% | 30K Puffs | Many Flavors | St…,0,3,https://stclaircannabis.com/items/vape-disposables,category,,no same product on .com; vape from .ca title
/product/geek-max-5-20k-30k-puffs-many-flavors/,200,product,Geek Max – 5% | 20k–30k Puffs | Many Flavors | St. Clair…,0,3,https://stclaircannabis.com/items/vape-disposables,category,,no same product on .com; vape from .ca title
/product/green-gelato-%E2%9C%A8sale/,200,product,Green Gelato ✨sale | AA Cannabis Toronto | St. Clair,0,3,https://stclaircannabis.com/aa-weed,category,,no same product on .com; tier from .ca title
/product/hash-on-sale-afgan-black-moroccan-turkish/,200,product,"Hash on Sale Afgan , Black Moroccan, Turkish | St. Clair…",0,3,https://stclaircannabis.com/items/concentrates,category,,no same product on .com; category from slug keywords
